KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Gravity (EU),P. Esc Vel (EU),P. Period (days),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
2152.01,42.1930055,2.01,0.231,453,1.64,0.26,1.08,0.11,0.27,-0.17,0.69,0.3,11.6,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.71,42.19,0.589,1.456,-1.82,0.45,-0.2,0.35,0.66,0.16,0.36,0,0,0,0,tran,2012
2153.01,59.9802,2.18,0.319,532,0.42,2.19,2.21,-1.06,1.35,0.62,0.78,1,11.6,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.78,59.98,1.082,2.58,-2.02,0.6,-0.26,0.32,0.62,0.09,0.3,0,0,0,0,tran,2012
2153.02,25.7460997,1.31,0.182,704,0.4,0.75,2.09,0.83,0.57,0.17,1.27,1.4,-99,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.23,1.27,25.75,1.082,2.58,-2.2,-0.15,-0.82,0.3,0.87,0.03,0.31,0,0,0,0,tran,2012
2154.01,11.9295662,2.61,0.101,724,2.51,3.57,1.49,-0.11,0.17,0.11,0.18,0.9,11.6,,,,,,,,Hot,Neptunian,rocky-water,metals-rich,non-habitable,1.41,1.91,11.93,0.656,1.611,-2.16,0.98,-0.38,0.29,0.56,0.03,0.24,0,0,0,0,tran,2012
2155.01,4.33946,1.51,0.051,971,3.09,0.05,1.36,0.01,0.4,-0.29,0.84,0.3,11.6,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.32,1.39,4.34,0.567,1.41,-2.23,-0.04,-0.88,0.29,0.81,0.01,0.29,0,0,0,0,tran,2012
2156.01,2.8523746,3.36,0.033,682,0.76,0.01,0,0.12,0.31,-0.23,0.19,1.2,11.6,,,,,,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.74,2.85,0.198,0.527,-2.01,2.14,-0.47,0.25,0.47,0.03,0.22,0,0,0,0,tran,2012
2158.01,4.5621528,1.61,0.053,1260,0.2,0.17,0.46,-0.66,1.11,0.71,1.63,0.7,11.5,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.37,1.47,4.56,1.033,2.58,-2.27,0.06,-0.94,0.29,0.77,0,0.28,0,0,0,0,tran,2012
2159.01,7.5967686,1.01,0.074,837,1.18,0.1,0.46,-0.18,0.53,-0.37,0.94,0.5,11.5,,,,,,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.06,1.07,7.6,0.676,1.653,-2.23,-0.28,-1.04,0.29,0.97,0.01,0.3,0,0,0,0,tran,2012
2160.01,17.6708942,1.54,0.126,601,5.45,0.17,-3.56,-0.43,0.55,0.49,0.42,1.4,11.5,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.59,17.67,0.659,1.617,-2.1,0.22,-0.53,0.31,0.72,0.04,0.3,0,0,0,0,tran,2012
2162.01,108.5877285,1.41,0.428,350,2.56,1.02,0.88,0.17,0.39,0.56,0.65,0.9,11.5,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.59,108.59,0.827,2,-1.63,0.22,-0.19,0.38,0.72,0.29,0.46,0,0,0,0,tran,2012
