P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
KOI-1879.01,,1879.01,Hot,Neptunian,gas,metals-rich,non-habitable,,24.81,,5.50,0.15,0.82,2.12,        9.593042,        9.593043,        9.593046,448.4,448.4,448.4,,,,3.7,-23.36,10.47,22.09,0.13,0.00,0.13,89.4,,KOI-1879,,,Cyg,K,0.63,0.93,3831.0,0.167149,,,16.0,624.79,19.5076,44.3947,-29.2,3.7553,1,0,0.328,0.882,-1.71,4.12,0.21,0.18,,0.31,0.19,0.25,0,0,0,0,tran,2012
KOI-1880.01,,1880.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,2.95,,1.49,0.89,1.33,1.41,        204.1594,        204.1595,        204.1595,963.0,963.0,963.0,1015.5,1015.5,1015.5,2.6,-23.85,2.83,1.15,0.02,0.00,0.02,77.9,,KOI-1880,,,Cyg,K,0.55,0.52,4048.0,0.066148,,14.000,14.4,195.21,19.2715,47.4071,-32.5,15.5616,1,0,0.205,0.547,-2.10,-0.02,-0.85,0.31,0.00,0.80,0.01,0.29,0,0,0,0,tran,2012
KOI-1881.01,,1881.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.90,0.39,1.13,1.81,        16.52100,        16.52101,        16.52101,513.6,513.6,513.6,567.6,567.6,567.6,3.7,-22.56,5.51,28.27,0.17,0.00,0.17,89.4,,KOI-1881,,,Lyr,G,0.78,0.82,5257.0,0.460754,,13.700,14.9,638.16,18.9744,39.1310,-29.8,2.6169,1,0,0.520,1.308,-1.90,1.51,-0.19,0.29,0.00,0.51,0.11,0.29,0,0,0,0,tran,2012
KOI-1882.01,,1882.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,4.76,,1.83,0.78,1.42,1.61,        507.6388,        507.6389,        507.6389,1209.3,1209.3,1209.3,1263.2,1263.2,1263.2,3.7,-25.29,3.48,3.77,0.05,0.00,0.05,85.9,,KOI-1882,,,Cyg,F,1.06,0.97,6101.0,1.169600,,0.300,14.7,911.26,19.4609,41.5336,-33.5,10.7853,1,0,0.801,1.940,-2.32,0.26,-0.83,0.29,0.00,0.71,0.00,0.27,0,0,0,0,tran,2012
KOI-1883.01,,1883.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.22,,1.07,0.99,1.06,1.07,        1246.943,        1246.943,        1246.943,1513.9,1513.9,1513.9,1563.1,1563.1,1563.1,1.2,-25.10,2.03,2.71,0.04,0.00,0.04,83.1,,KOI-1883,,,Cyg,F,1.13,1.19,6295.0,1.995109,,2.800,11.9,333.78,19.2822,49.9389,-34.5,15.9053,1,0,1.039,2.496,-2.37,-0.28,-1.20,0.27,0.00,0.97,0.00,0.29,0,0,0,0,tran,2012
KOI-1884.01,,1884.01,Hot,Neptunian,gas,metals-rich,non-habitable,,20.93,,5.00,0.17,0.84,2.05,        20.73217,        20.73218,        20.73218,543.6,543.6,543.6,,,,3.5,-23.99,9.51,23.12,0.16,0.00,0.16,88.2,,KOI-1884,,,Cyg,G,0.95,0.92,5077.0,0.504538,,,15.5,861.21,19.7268,39.9184,-30.0,3.1432,2,0,0.548,1.391,-1.93,3.69,-0.03,0.19,,0.33,0.09,0.20,0,0,0,0,tran,2012
KOI-1884.02,,1884.02,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.63,0.52,1.37,1.90,        166.7895,        166.7895,        166.7895,915.6,915.6,915.6,970.8,970.8,970.8,5.0,-24.87,5.00,4.78,0.06,0.00,0.06,84.8,,KOI-1884,,,Cyg,G,0.95,0.92,5077.0,0.504538,,,15.5,861.21,19.7268,39.9184,-32.3,8.9232,2,0,0.548,1.391,-2.17,1.03,-0.52,0.29,0.00,0.55,0.01,0.23,0,0,0,0,tran,2012
KOI-1885.01,,1885.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,5.57,,1.97,0.73,1.44,1.68,        248.8540,        248.8540,        248.8541,1011.9,1011.9,1011.9,1066.2,1066.2,1066.2,4.1,-24.67,3.74,5.65,0.06,0.00,0.06,85.9,,KOI-1885,,,Cyg,G,1.05,0.93,5973.0,0.987702,,0.300,14.4,732.85,19.7836,49.2087,-32.7,7.8730,1,0,0.740,1.802,-2.28,0.38,-0.71,0.29,0.00,0.67,0.01,0.26,0,0,0,0,tran,2012
KOI-1886.01,,1886.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,8.86,,2.50,0.57,1.42,1.88,        1010.021,        1010.021,        1010.021,1436.2,1436.2,1436.2,1491.5,1491.5,1491.5,5.0,-26.72,4.75,5.99,0.07,0.00,0.07,89.4,,KOI-1886,,,Cyg,F,1.34,1.87,6347.0,5.091516,,3.040,12.2,624.55,19.9774,46.1984,-34.3,14.0713,1,0,1.656,3.971,-2.37,0.88,-0.77,0.27,0.00,0.57,0.00,0.23,0,0,0,0,tran,2012
KOI-1888.01,,1888.01,Hot,Neptunian,gas,metals-rich,non-habitable,,15.98,,4.30,0.20,0.86,1.93,        13.67384,        13.67384,        13.67385,489.9,489.9,489.9,,,,3.2,-23.21,8.18,120.02,0.52,0.00,0.52,89.4,,KOI-1888,,,Lyr,F,1.29,1.41,6741.0,3.683200,,1.700,13.3,846.61,19.1124,47.0982,-29.6,1.4478,1,0,1.389,3.285,-1.92,3.07,-0.05,0.22,,0.38,0.14,0.25,0,0,0,0,tran,2012
