P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
KOI-312.01,,312.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,5.22,,1.91,0.75,1.43,1.65,        164.9877,        164.9878,        164.9878,913.1,913.1,913.1,967.3,967.3,967.3,3.9,-24.16,3.63,11.58,0.11,0.00,0.11,88.2,,KOI-312,,,Cyg,F,1.20,1.21,6158.0,1.888945,,2.000,12.5,420.77,19.7645,42.5988,-32.3,6.0292,2,0,1.016,2.455,-2.26,0.33,-0.67,0.30,0.00,0.69,0.01,0.27,0,0,0,0,tran,2011
KOI-312.02,,312.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,4.82,,1.84,0.77,1.42,1.62,        105.1985,        105.1985,        105.1986,815.9,815.9,815.9,869.9,869.9,869.9,3.7,-23.58,3.50,16.40,0.13,0.00,0.13,88.8,,KOI-312,,,Cyg,F,1.20,1.21,6158.0,1.888945,,2.000,12.5,420.77,19.7645,42.5988,-31.8,4.8136,2,0,1.016,2.455,-2.23,0.27,-0.63,0.30,0.00,0.70,0.02,0.28,0,0,0,0,tran,2011
KOI-313.01,,313.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,7.03,,2.21,0.65,1.44,1.78,        30.08987,        30.08987,        30.08988,596.7,596.7,596.7,651.6,651.6,651.6,4.6,-22.62,4.20,18.74,0.13,0.00,0.13,88.8,,KOI-313,,,Lyr,G,0.91,0.86,5348.0,0.540294,,4.400,13.0,287.04,18.8090,43.0391,-30.4,3.4128,2,0,0.561,1.406,-2.01,0.61,-0.32,0.32,0.00,0.62,0.06,0.29,0,0,0,0,tran,2011
KOI-313.02,,313.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,3.56,,1.61,0.85,1.37,1.49,        86.57166,        86.57168,        86.57169,777.1,777.1,777.1,830.2,830.2,830.2,3.0,-23.08,3.06,8.44,0.08,0.00,0.08,88.8,,KOI-313,,,Lyr,G,0.91,0.86,5348.0,0.540294,,4.400,13.0,287.04,18.8090,43.0391,-31.6,5.7903,2,0,0.561,1.406,-2.14,0.08,-0.70,0.31,0.00,0.77,0.02,0.29,0,0,0,0,tran,2011
KOI-314.01,,314.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,3.40,,1.58,0.86,1.36,1.47,        5.947722,        5.947723,        5.947724,397.9,397.9,397.9,450.8,450.8,450.8,2.9,-20.12,3.00,13.78,0.09,0.00,0.09,88.2,,KOI-314,,,Lyr,M1V,0.52,0.50,3841.0,0.048821,-0.180,,12.9,105.68,19.3588,43.2930,-28.7,2.9414,3,0,0.177,0.476,-1.58,0.05,-0.31,0.38,0.00,0.78,0.29,0.47,0,0,0,0,tran,2011
KOI-314.02,,314.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,1.91,,1.26,0.96,1.21,1.23,        2.988666,        2.988667,        2.988667,335.0,335.0,335.0,385.9,385.9,385.9,1.8,-18.87,2.39,23.09,0.13,0.00,0.13,88.8,,KOI-314,,,Lyr,M1V,0.52,0.50,3841.0,0.048821,-0.180,,12.9,105.68,19.3588,43.2930,-27.9,2.0849,3,0,0.177,0.476,-1.33,-0.18,-0.43,0.41,0.00,0.88,0.50,0.64,0,0,0,0,tran,2011
KOI-314.03,,314.03,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,,0.49,,0.79,1.00,0.79,0.79,        13.82065,        13.82065,        13.82065,491.2,491.2,491.2,536.5,536.5,536.5,0.5,-19.52,1.50,10.31,0.07,0.00,0.07,88.2,,KOI-314,,,Lyr,K,0.53,0.61,3900.0,0.077741,,,12.9,105.68,19.3588,43.2930,-29.6,4.3496,3,0,0.224,0.599,-1.79,-0.38,-1.04,0.32,0.00,0.88,0.13,0.38,0,0,0,0,tran,2011
KOI-315.01,,315.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,6.60,,2.14,0.67,1.44,1.76,        5.623968,        5.623969,        5.623970,392.3,392.3,392.3,447.1,447.1,447.1,4.4,-20.72,4.07,35.59,0.19,0.00,0.19,89.4,,KOI-315,,,Cyg,K,0.70,0.65,4789.0,0.198774,,7.900,13.0,172.36,19.8181,43.3333,-28.6,1.8398,1,0,0.348,0.894,-1.58,0.54,-0.02,0.37,0.00,0.64,0.30,0.44,0,0,0,0,tran,2011
KOI-316.01,,316.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.63,0.52,1.37,1.90,        78.60969,        78.60970,        78.60970,758.6,758.6,758.6,813.8,813.8,813.8,5.0,-24.04,5.00,16.00,0.13,0.00,0.13,90.0,,KOI-316,,,Lyr,G,1.09,1.18,5622.0,1.248008,,5.100,12.7,382.13,18.8261,43.8894,-31.5,4.9924,3,0,0.844,2.086,-2.15,1.03,-0.40,0.29,0.00,0.55,0.03,0.24,0,0,0,0,tran,2011
KOI-316.02,,316.02,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.80,0.43,1.21,1.84,        3.634310,        3.634310,        3.634311,351.8,351.8,351.8,406.2,406.2,406.2,4.1,-20.83,5.32,157.07,0.59,0.00,0.59,89.4,,KOI-316,,,Lyr,G,1.09,1.18,5622.0,1.248008,,5.100,12.7,382.13,18.8261,43.8894,-28.1,1.0731,3,0,0.844,2.086,-1.41,1.33,0.17,0.34,0.00,0.53,0.43,0.48,0,0,0,0,tran,2011
KOI-316.03,,316.03,Hot,Superterran,rocky-water,metals-rich,non-habitable,,6.66,,2.15,0.67,1.44,1.76,        216.0678,        216.0678,        216.0678,976.8,976.8,976.8,1031.5,1031.5,1031.5,4.5,-24.71,4.09,7.31,0.08,0.00,0.08,86.5,,KOI-316,,,Lyr,G,1.09,1.18,5622.0,1.248008,,5.100,12.7,382.13,18.8261,43.8894,-32.6,8.2814,3,0,0.844,2.086,-2.24,0.55,-0.64,0.30,0.00,0.63,0.01,0.25,0,0,0,0,tran,2011
KOI-317.01,,317.01,Hot,Neptunian,gas,metals-rich,non-habitable,,15.98,,4.30,0.20,0.86,1.93,        195.1261,        195.1262,        195.1262,952.2,952.2,952.2,,,,3.2,-26.11,8.18,22.21,0.17,0.00,0.17,87.1,,KOI-317,,,Cyg,F,1.39,1.82,6658.0,5.839931,,2.300,12.9,899.35,19.9211,43.9980,-32.5,5.6086,1,0,1.754,4.159,-2.31,3.07,-0.52,0.21,,0.38,0.01,0.17,0,0,0,0,tran,2011
KOI-318.01,,318.01,Hot,Neptunian,gas,metals-rich,non-habitable,,22.37,,5.19,0.16,0.83,2.08,        43.69937,        43.69938,        43.69938,655.0,655.0,655.0,,,,3.6,-24.89,9.88,38.58,0.25,0.00,0.25,87.7,,KOI-318,,,Cyg,F,1.36,1.38,6285.0,2.666055,,1.230,12.2,446.17,19.2103,44.0688,-30.9,2.9778,1,0,1.201,2.887,-2.13,3.85,-0.16,0.18,,0.32,0.04,0.17,0,0,0,0,tran,2011
KOI-319.01,,319.01,Hot,Jovian,gas,metals-rich,non-habitable,,43.17,,7.50,0.10,0.77,2.40,        33.62571,        33.62571,        33.62572,613.5,613.5,613.5,,,,4.4,-25.40,14.29,46.15,0.27,0.00,0.27,88.2,,KOI-319,,,Cyg,G,1.22,1.47,5952.0,2.433191,,3.860,12.7,536.02,19.3412,44.8729,-30.6,2.9125,1,0,1.162,2.833,-2.07,5.79,0.14,0.14,,0.24,0.06,0.14,0,0,0,0,tran,2011
KOI-321.01,,321.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,3.00,,1.50,0.89,1.33,1.41,        848.8118,        848.8120,        848.8121,1375.1,1375.1,1375.1,1427.7,1427.7,1427.7,2.7,-25.42,2.85,2.43,0.04,0.00,0.04,86.5,,KOI-321,,,Cyg,G,0.98,1.11,5538.0,1.039795,,9.100,12.5,321.03,19.4565,44.9682,-34.1,16.9629,2,0,0.773,1.918,-2.29,-0.01,-0.99,0.29,0.00,0.80,0.00,0.28,0,0,0,0,tran,2011
KOI-321.02,,321.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.59,,0.84,1.00,0.84,0.84,        356.5826,        356.5826,        356.5826,1107.1,1107.1,1107.1,1153.2,1153.2,1153.2,0.6,-23.20,1.60,4.62,0.05,0.00,0.05,87.1,,KOI-321,,,Cyg,G,0.98,1.11,5538.0,1.039795,,9.100,12.5,321.03,19.4565,44.9682,-33.1,10.9711,2,0,0.773,1.918,-2.25,-0.37,-1.24,0.28,0.00,0.91,0.01,0.29,0,0,0,0,tran,2011
KOI-323.01,,323.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,6.78,,2.17,0.66,1.44,1.77,        165.9639,        165.9640,        165.9640,914.4,914.4,914.4,969.2,969.2,969.2,4.5,-24.44,4.12,5.84,0.06,0.00,0.06,87.7,,KOI-323,,,Lyr,G,0.95,0.89,5527.0,0.658711,,2.300,12.5,249.16,18.9374,45.5069,-32.3,7.5085,1,0,0.615,1.528,-2.21,0.57,-0.60,0.30,0.00,0.63,0.01,0.25,0,0,0,0,tran,2011
KOI-326.01,,326.01,Hot,Jovian,gas,metals-rich,non-habitable,,718.14,,36.20,0.02,0.55,4.45,        6348.417,        6348.417,        6348.419,2274.1,2274.1,2274.1,,,,10.9,-34.56,73.79,8.97,0.10,0.00,0.10,88.2,,KOI-326,,,Lyr,K,1.95,12.40,4746.0,69.991307,,1.230,13.0,3222.38,19.1104,46.7835,-36.3,66.6256,2,0,6.535,16.843,-2.25,31.00,0.08,0.03,,0.05,0.00,0.03,0,0,0,0,tran,2011
KOI-326.02,,326.02,Hot,Jovian,gas,metals-rich,non-habitable,,513.44,,30.00,0.02,0.57,4.14,        227.2260,        227.2261,        227.2261,989.1,989.1,989.1,,,,9.8,-30.51,59.67,108.53,0.56,0.00,0.56,90.0,,KOI-326,,,Lyr,K,1.95,12.40,4746.0,69.991307,,1.230,13.0,3222.38,19.1104,46.7835,-32.6,11.9281,2,0,6.535,16.843,-2.16,24.90,0.81,0.04,,0.06,0.01,0.04,0,0,0,0,tran,2011
KOI-327.01,,327.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,3.15,,1.53,0.88,1.34,1.43,        855.1026,        855.1027,        855.1029,1377.7,1377.7,1377.7,1430.4,1430.4,1430.4,2.8,-25.47,2.91,3.25,0.05,0.00,0.05,85.4,,KOI-327,,,Lyr,F,1.22,1.17,6206.0,1.809397,,0.880,13.0,526.73,19.1580,46.7682,-34.1,13.5397,2,0,0.992,2.393,-2.35,0.01,-0.98,0.28,0.00,0.79,0.00,0.28,0,0,0,0,tran,2011
KOI-327.02,,327.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,3.93,,1.68,0.83,1.39,1.53,        10.11237,        10.11238,        10.11238,454.3,454.3,454.3,507.7,507.7,507.7,3.3,-20.83,3.19,91.35,0.42,0.00,0.42,89.4,,KOI-327,,,Lyr,F,1.22,1.17,6206.0,1.809397,,0.880,13.0,526.73,19.1580,46.7682,-29.3,1.4690,2,0,0.992,2.393,-1.81,0.13,-0.34,0.35,0.00,0.75,0.18,0.39,0,0,0,0,tran,2011
KOI-330.01,,330.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,8.22,,2.40,0.59,1.43,1.85,        295.7981,        295.7982,        295.7982,1056.6,1056.6,1056.6,1111.7,1111.7,1111.7,4.9,-25.29,4.56,7.97,0.08,0.00,0.08,83.7,,KOI-330,,,Cyg,F,1.04,1.25,6024.0,1.846076,,6.400,13.9,815.56,19.7906,49.1620,-32.9,8.4398,2,0,1.010,2.453,-2.29,0.79,-0.63,0.29,0.00,0.59,0.01,0.24,0,0,0,0,tran,2011
KOI-330.02,,330.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.97,,0.99,1.00,0.99,0.99,        2051.196,        2051.196,        2051.196,1714.5,1714.5,1714.5,1762.8,1762.8,1762.8,1.0,-25.47,1.88,1.89,0.03,0.00,0.03,72.2,,KOI-330,,,Cyg,F,1.04,1.25,6024.0,1.846076,,6.400,13.9,815.56,19.7906,49.1620,-35.0,22.3462,2,0,1.010,2.453,-2.36,-0.32,-1.27,0.27,0.00,0.99,0.00,0.29,0,0,0,0,tran,2011
KOI-331.01,,331.01,Hot,Neptunian,gas,metals-rich,non-habitable,,11.29,,3.54,0.25,0.90,1.79,        98.13570,        98.13571,        98.13575,801.9,801.9,801.9,,,,2.9,-24.94,6.73,18.68,0.14,0.00,0.14,85.4,,KOI-331,,,Cyg,G,1.03,1.50,5536.0,1.896080,,9.800,13.5,678.37,19.7456,47.3588,-31.7,5.7533,1,0,1.043,2.591,-2.17,2.37,-0.51,0.24,,0.44,0.02,0.20,0,0,0,0,tran,2011
KOI-332.01,,332.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,5.28,,1.92,0.75,1.43,1.66,        354.0460,        354.0461,        354.0461,1105.1,1105.1,1105.1,1159.3,1159.3,1159.3,3.9,-25.00,3.65,5.46,0.06,0.00,0.06,87.1,,KOI-332,,,Cyg,G,1.14,1.21,5719.0,1.405209,,3.800,13.0,474.94,19.8434,47.3963,-33.1,10.2490,1,0,0.892,2.195,-2.27,0.34,-0.77,0.29,0.00,0.68,0.01,0.26,0,0,0,0,tran,2011
KOI-333.01,,333.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,8.86,,2.50,0.57,1.42,1.88,        163.9342,        163.9342,        163.9342,911.6,911.6,911.6,966.9,966.9,966.9,5.0,-24.74,4.75,13.29,0.12,0.00,0.12,86.5,,KOI-333,,,Cyg,F,1.23,1.17,6538.0,2.244095,,0.360,13.4,702.69,19.3972,47.4063,-32.3,5.3311,1,0,1.092,2.600,-2.29,0.88,-0.52,0.28,0.00,0.57,0.01,0.24,0,0,0,0,tran,2011
KOI-337.01,,337.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,5.52,,1.96,0.73,1.44,1.68,        49.32455,        49.32456,        49.32457,675.2,675.2,675.2,729.5,729.5,729.5,4.0,-22.89,3.73,19.78,0.14,0.00,0.14,87.7,,KOI-337,,,Cyg,F,1.04,0.94,6014.0,1.037049,,0.400,13.9,613.51,19.7123,47.7481,-31.0,3.4553,1,0,0.757,1.840,-2.13,0.37,-0.48,0.31,0.00,0.68,0.04,0.28,0,0,0,0,tran,2011
KOI-338.01,,338.01,Hot,Jovian,gas,metals-rich,non-habitable,,761.21,,37.40,0.01,0.54,4.51,        18099.08,        18099.09,        18099.09,2955.0,2955.0,2955.0,,,,11.1,-35.77,76.67,7.01,0.07,0.00,0.07,87.1,,KOI-338,,,Cyg,K,1.00,19.20,4104.0,93.825670,,12.390,13.4,4666.04,19.8647,47.7317,-37.4,-,2,0,7.725,20.501,-2.20,32.24,-0.13,0.03,,0.05,0.00,0.03,0,0,0,0,tran,2011
KOI-338.02,,338.02,Hot,Jovian,gas,metals-rich,non-habitable,,196.07,,17.50,0.04,0.64,3.35,        53189.15,        53189.15,        53189.16,3869.0,3869.0,3869.0,,,,7.2,-35.29,33.74,3.11,0.04,0.00,0.04,84.8,,KOI-338,,,Cyg,K,1.00,19.20,4104.0,93.825670,,12.390,13.4,4666.04,19.8647,47.7317,-38.6,-,2,0,7.725,20.501,-2.20,13.89,-0.69,0.07,,0.11,0.00,0.05,0,0,0,0,tran,2011
KOI-339.01,,339.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,4.88,,1.85,0.77,1.42,1.62,        1472.115,        1472.115,        1472.115,1578.1,1578.1,1578.1,1632.1,1632.1,1632.1,3.8,-26.47,3.52,1.98,0.03,0.00,0.03,81.9,,KOI-339,,,Dra,F,1.11,1.04,6278.0,1.507446,,0.200,13.8,683.29,19.0592,47.8804,-34.7,17.3864,2,0,0.903,2.172,-2.37,0.28,-0.94,0.28,0.00,0.70,0.00,0.26,0,0,0,0,tran,2011
KOI-339.02,,339.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,5.63,,1.98,0.73,1.44,1.69,        120.1727,        120.1727,        120.1727,843.5,843.5,843.5,897.9,897.9,897.9,4.1,-23.89,3.76,12.83,0.11,0.00,0.11,87.1,,KOI-339,,,Dra,F,1.11,1.04,6278.0,1.507446,,0.200,13.8,683.29,19.0592,47.8804,-32.0,4.9500,2,0,0.903,2.172,-2.25,0.39,-0.61,0.30,0.00,0.67,0.02,0.27,0,0,0,0,tran,2011
KOI-340.01,,340.01,Hot,Jovian,gas,metals-rich,non-habitable,,182.28,,16.80,0.04,0.65,3.29,        44.85181,        44.85183,        44.85183,659.3,659.3,659.3,,,,7.0,-27.48,32.35,23.67,0.17,0.00,0.17,88.2,,KOI-340,,,Cyg,G,1.15,1.12,5811.0,1.281013,,2.300,13.1,455.76,19.8443,47.8014,-30.9,3.5292,1,0,0.848,2.080,-2.10,13.31,0.75,0.07,,0.11,0.04,0.08,0,0,0,0,tran,2011
KOI-341.01,,341.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.99,0.36,1.06,1.78,        56.44529,        56.44529,        56.44530,698.3,698.3,698.3,751.9,751.9,751.9,3.4,-23.96,5.68,14.34,0.11,0.00,0.11,88.2,,KOI-341,,,Cyg,G,0.96,0.93,5536.0,0.733563,,5.500,13.3,392.29,19.8641,48.2444,-31.1,4.3626,2,0,0.649,1.611,-2.11,1.66,-0.43,0.27,0.00,0.50,0.03,0.23,0,0,0,0,tran,2011
KOI-341.02,,341.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,3.40,,1.58,0.86,1.36,1.47,        251.5648,        251.5648,        251.5649,1014.6,1014.6,1014.6,1067.6,1067.6,1067.6,2.9,-24.20,3.00,4.70,0.05,0.00,0.05,87.7,,KOI-341,,,Cyg,G,0.96,0.93,5536.0,0.733563,,5.500,13.3,392.29,19.8641,48.2444,-32.8,9.2175,2,0,0.649,1.611,-2.24,0.05,-0.84,0.30,0.00,0.78,0.01,0.28,0,0,0,0,tran,2011
KOI-343.01,,343.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.69,0.49,1.31,1.88,        419.5964,        419.5965,        419.5966,1153.1,1153.1,1153.1,1208.0,1208.0,1208.0,4.6,-25.92,5.11,4.76,0.06,0.00,0.06,85.9,,KOI-343,,,Cyg,G,0.99,1.14,5744.0,1.269279,,8.200,13.2,485.07,19.6746,48.4813,-33.3,11.0631,3,0,0.847,2.082,-2.28,1.14,-0.66,0.28,0.00,0.54,0.00,0.23,0,0,0,0,tran,2011
KOI-343.02,,343.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,4.93,,1.86,0.77,1.43,1.63,        1320.790,        1320.790,        1320.790,1535.9,1535.9,1535.9,1589.9,1589.9,1589.9,3.8,-26.37,3.54,2.02,0.03,0.00,0.03,82.5,,KOI-343,,,Cyg,G,0.99,1.14,5744.0,1.269279,,8.200,13.2,485.07,19.6746,48.4813,-34.6,19.6944,3,0,0.847,2.082,-2.32,0.29,-0.93,0.28,0.00,0.70,0.00,0.26,0,0,0,0,tran,2011
KOI-343.03,,343.03,Hot,Superterran,rocky-water,metals-rich,non-habitable,,3.40,,1.58,0.86,1.36,1.47,        22.98378,        22.98378,        22.98379,557.8,557.8,557.8,610.8,610.8,610.8,2.9,-21.59,3.00,41.81,0.23,0.00,0.23,89.4,,KOI-343,,,Cyg,G,0.99,1.14,5744.0,1.269279,,8.200,13.2,485.07,19.6746,48.4813,-30.1,2.5854,3,0,0.847,2.082,-1.99,0.05,-0.53,0.33,0.00,0.78,0.08,0.33,0,0,0,0,tran,2011
KOI-344.01,,344.01,Hot,Neptunian,gas,metals-rich,non-habitable,,12.82,,3.80,0.23,0.89,1.84,        28.25370,        28.25371,        28.25371,587.4,587.4,587.4,,,,3.0,-23.73,7.23,39.31,0.23,0.00,0.23,89.4,,KOI-344,,,Dra,G,1.00,1.12,5984.0,1.443086,,6.200,13.4,566.08,18.8894,48.5490,-30.4,2.6412,1,0,0.894,2.176,-2.04,2.61,-0.26,0.23,,0.42,0.07,0.22,0,0,0,0,tran,2011
KOI-345.01,,345.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.72,0.47,1.28,1.87,        8.619766,        8.619768,        8.619769,436.5,436.5,436.5,491.3,491.3,491.3,4.5,-21.71,5.17,29.89,0.17,0.00,0.17,88.8,,KOI-345,,,Dra,K,0.76,0.71,4869.0,0.252051,,9.300,13.3,230.16,19.1017,48.6836,-29.1,2.2035,1,0,0.390,1.000,-1.72,1.19,-0.00,0.32,0.00,0.54,0.21,0.35,0,0,0,0,tran,2011
KOI-346.01,,346.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,8.22,,2.40,0.59,1.43,1.85,        35.99777,        35.99777,        35.99778,624.0,624.0,624.0,679.2,679.2,679.2,4.9,-22.99,4.56,12.92,0.10,0.00,0.10,89.4,,KOI-346,,,Cyg,G,0.82,0.77,5107.0,0.359978,,7.200,13.5,299.26,19.9107,48.6064,-30.6,4.0937,1,0,0.462,1.172,-2.02,0.79,-0.30,0.31,0.00,0.59,0.05,0.27,0,0,0,0,tran,2011
KOI-348.01,,348.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.94,0.37,1.10,1.80,        7.493634,        7.493635,        7.493637,421.5,421.5,421.5,475.3,475.3,475.3,3.6,-21.72,5.59,28.51,0.16,0.00,0.16,88.8,,KOI-348,,,Cyg,K,0.67,0.66,4736.0,0.194243,,13.900,13.9,265.15,19.5790,48.8251,-28.9,2.1715,1,0,0.344,0.888,-1.67,1.58,-0.04,0.30,0.00,0.51,0.24,0.36,0,0,0,0,tran,2011
KOI-349.01,,349.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,8.86,,2.50,0.57,1.42,1.88,        88.39221,        88.39221,        88.39222,781.2,781.2,781.2,836.4,836.4,836.4,5.0,-24.06,4.75,14.39,0.11,0.00,0.11,89.4,,KOI-349,,,Cyg,G,0.94,1.05,5812.0,1.128680,,8.200,13.6,545.18,19.1235,49.2617,-31.6,4.9534,1,0,0.796,1.952,-2.18,0.88,-0.43,0.29,0.00,0.57,0.02,0.25,0,0,0,0,tran,2011
KOI-350.01,,350.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,8.22,,2.40,0.59,1.43,1.85,        115.5295,        115.5295,        115.5295,835.3,835.3,835.3,890.4,890.4,890.4,4.9,-24.27,4.56,12.99,0.11,0.00,0.11,87.7,,KOI-350,,,Cyg,F,1.02,1.08,6018.0,1.372606,,5.000,13.4,548.81,19.1908,49.2645,-31.9,5.2821,1,0,0.871,2.116,-2.22,0.79,-0.49,0.29,0.00,0.59,0.02,0.25,0,0,0,0,tran,2011
KOI-351.01,,351.01,Warm,Jovian,gas,hydrogen-rich,non-habitable,,69.61,,9.80,0.07,0.72,2.67,        1.717197,        1.717197,        1.717197,291.6,291.6,291.6,,,,5.1,-22.74,18.71,331.64,0.98,0.00,0.98,90.0,,KOI-351,,,Dra,F,1.12,1.07,6330.0,1.649196,,0.530,13.8,728.26,18.9622,49.3052,-27.3,0.5819,3,1,0.943,2.263,-0.94,7.66,1.29,0.11,,0.19,0.74,0.39,0,0,0,0,tran,2011
KOI-351.02,,351.02,Hot,Jovian,gas,metals-rich,non-habitable,,38.17,,7.00,0.11,0.78,2.34,        3.146263,        3.146264,        3.146264,339.3,339.3,339.3,,,,4.2,-22.67,13.33,210.60,0.72,0.00,0.72,90.0,,KOI-351,,,Dra,F,1.12,1.07,6330.0,1.649196,,0.530,13.8,728.26,18.9622,49.3052,-28.0,0.7876,3,1,0.943,2.263,-1.33,5.38,0.72,0.15,,0.25,0.48,0.36,0,0,0,0,tran,2011
KOI-351.03,,351.03,Hot,Neptunian,rocky-water,metals-rich,non-habitable,,9.50,,2.60,0.54,1.41,1.91,        16.94193,        16.94194,        16.94194,516.9,516.9,516.9,572.2,572.2,572.2,5.1,-22.35,4.94,59.74,0.31,0.00,0.31,90.0,,KOI-351,,,Dra,F,1.12,1.07,6330.0,1.649196,,0.530,13.8,728.26,18.9622,49.3052,-29.8,1.8277,3,1,0.943,2.263,-1.96,0.98,-0.10,0.31,0.00,0.56,0.11,0.30,0,0,0,0,tran,2011
KOI-352.01,,352.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,7.22,,2.24,0.64,1.44,1.79,        41.75792,        41.75792,        41.75793,647.6,647.6,647.6,702.5,702.5,702.5,4.6,-23.00,4.26,27.08,0.18,0.00,0.18,90.0,,KOI-352,,,Cyg,F,1.01,1.06,6002.0,1.308234,,4.800,13.8,638.59,19.8712,49.4126,-30.8,3.1919,1,0,0.851,2.069,-2.11,0.63,-0.37,0.31,0.00,0.62,0.05,0.27,0,0,0,0,tran,2011
KOI-353.01,,353.01,Hot,Jovian,gas,metals-rich,non-habitable,,60.98,,9.10,0.08,0.74,2.59,        8.896713,        8.896716,        8.896717,440.0,440.0,440.0,,,,4.9,-24.38,17.36,152.10,0.61,0.00,0.61,89.4,,KOI-353,,,Cyg,F,1.32,1.30,6858.0,3.354026,,0.330,13.4,852.79,19.6808,49.5622,-29.1,1.1283,2,0,1.320,3.112,-1.79,7.09,0.66,0.12,,0.20,0.20,0.20,0,0,0,0,tran,2011
KOI-353.02,,353.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,7.59,,2.30,0.62,1.44,1.82,        75.33581,        75.33582,        75.33583,750.6,750.6,750.6,805.6,805.6,805.6,4.7,-23.71,4.37,30.65,0.21,0.00,0.21,88.8,,KOI-353,,,Cyg,F,1.32,1.30,6858.0,3.354026,,0.330,13.4,852.79,19.6808,49.5622,-31.4,3.2838,2,0,1.320,3.112,-2.24,0.69,-0.45,0.30,0.00,0.61,0.03,0.26,0,0,0,0,tran,2011
KOI-354.01,,354.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,7.97,,2.36,0.61,1.43,1.84,        74.05491,        74.05491,        74.05492,747.4,747.4,747.4,802.5,802.5,802.5,4.8,-23.74,4.49,15.96,0.13,0.00,0.13,88.8,,KOI-354,,,Cyg,G,1.10,1.04,5935.0,1.213316,,1.700,13.2,481.26,19.7612,49.5401,-31.4,4.3476,2,0,0.821,2.003,-2.17,0.75,-0.43,0.30,0.00,0.60,0.03,0.25,0,0,0,0,tran,2011
KOI-354.02,,354.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.76,,1.22,0.97,1.18,1.20,        210.0616,        210.0616,        210.0616,969.9,969.9,969.9,1020.5,1020.5,1020.5,1.7,-23.44,2.32,7.38,0.08,0.00,0.08,88.2,,KOI-354,,,Cyg,G,1.10,1.04,5935.0,1.213316,,1.700,13.2,481.26,19.7612,49.5401,-32.6,7.3256,2,0,0.821,2.003,-2.26,-0.20,-0.98,0.29,0.00,0.90,0.01,0.30,0,0,0,0,tran,2011
