KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Gravity (EU),P. Esc Vel (EU),P. Period (days),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year,S. Name,S. Constellation
302.01,8.6779,497,52,106.9965,0.0031,24.85467,0.00051,22.35,0.23,0.02266,0.00024,0.02,0.02,3.8,0.179,873,0.000058,2,1,,Hot,Neptunian,gas,metals-rich,non-habitable,0.84,2.05,24.85,1.708,4.014,-2.32,3.69,-0.42,0.19,0.33,0.01,0.16,0,0,0,0,tran,2011,KOI-302,Cyg
303.01,6.3927,702,64,106.3643,0.0021,60.92983,0.00085,48,35,0.0277,0.0036,0.77,0.64,2.9,0.306,426,0.000033,2,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,0.98,1.74,60.93,0.731,1.809,-1.81,1.89,-0.16,0.28,0.49,0.17,0.31,0,0,0,0,tran,2011,KOI-303,Cyg
304.01,2.6128,556,58,107.9095,0.0016,8.511982,0.000093,18,35,0.0249,0.0079,0.8,0.98,5,0.087,1199,0.000017,2,1,,Hot,Neptunian,gas,metals-rich,non-habitable,0.83,2.06,8.51,1.55,3.745,-2.33,3.77,-0.61,0.18,0.33,0,0.15,0,0,0,0,tran,2011,KOI-304,Lyr
305.01,2.3541,383,36,104.8397,0.0022,4.603576,0.000072,12,29,0.02,0.011,0.7,1.4,2.5,0.053,963,0.00014,2,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.36,1.46,4.6,0.391,1.006,-2.11,0.04,-0.74,0.31,0.78,0.02,0.29,0,0,0,0,tran,2011,KOI-305,Cyg
306.01,2.9825,507,12,111.3658,0.0068,24.3077,0.0013,71.9,5.5,0.0232,0.0014,0.011,0.022,3.6,0.168,657,0.000085,2,1_2,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.81,24.31,0.581,1.451,-1.97,0.68,-0.24,0.32,0.61,0.09,0.3,0,0,0,0,tran,2011,KOI-306,Cyg
307.01,3.649,206,24,109.2686,0.004,19.67445,0.00055,42.2,1.4,0.01374,0.0004,0.008,0.01,1.7,0.148,736,0.000052,3,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.6,19.67,0.907,2.194,-2.18,0.23,-0.59,0.31,0.71,0.03,0.28,0,0,0,0,tran,2011,KOI-307,Cyg
308.01,6.3242,695,55,120.5441,0.0024,35.59061,0.00058,22,8,0.0281,0.0016,0.88,0.34,4.7,0.223,699,0.000033,2,1,,Hot,Neptunian,water-gas,metals-rich,non-habitable,0.96,1.74,35.6,1.062,2.548,-2.12,1.94,-0.41,0.26,0.48,0.05,0.23,0,0,0,0,tran,2011,KOI-308,Cyg
312.01,2.7215,181,24,108.586,0.0036,11.57898,0.00029,33.1,1.1,0.01322,0.00037,0.015,0.037,1.6,0.102,867,0.000066,2,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.65,11.58,1.016,2.455,-2.26,0.33,-0.67,0.3,0.69,0.01,0.27,0,0,0,0,tran,2011,KOI-312,Cyg
313.01,3.1424,504,36,110.6353,0.0022,18.73564,0.00031,25,37,0.0254,0.0068,0.87,0.72,3.1,0.139,651,0.000013,2,1_2_3,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.78,18.74,0.561,1.406,-2.01,0.61,-0.32,0.32,0.62,0.06,0.29,0,0,0,0,tran,2011,KOI-313,Lyr
313.02,3.2232,295,33,112.8879,0.0026,8.43628,0.00015,14,39,0.0178,0.0095,0.7,1.3,2.2,0.081,852,0.000017,2,1_2,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.37,1.49,8.44,0.561,1.406,-2.14,0.08,-0.7,0.31,0.77,0.02,0.29,0,0,0,0,tran,2011,KOI-313,Lyr
