KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Gravity (EU),P. Esc Vel (EU),P. Period (days),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year,S. Name,S. Constellation
755.01,1.6211,608,25,104.5925,0.0029,2.525605,0.000046,12.53,0.55,0.02434,0.00072,0.0327,-,2.8,0.037,1350,0.000029,2,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,2.53,0.791,1.928,-2.33,1.33,-0.77,0.26,0.53,0,0.22,0,0,0,0,tran,2011,KOI-755,Cyg
756.01,4.6503,1384,39,104.2018,0.004,11.09431,0.00028,18.85,0.37,0.03516,0.00059,0.027,0.033,3.7,0.099,791,0.000065,2,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.87,1.89,11.09,0.757,1.84,-2.22,2.89,-0.45,0.21,0.39,0.02,0.18,0,0,0,0,tran,2011,KOI-756,Cyg
756.02,3.0514,637,25,105.9703,0.0047,4.13463,0.00013,10.55,0.36,0.02509,0.0007,0.0209,-,2.6,0.052,1092,0.000079,2,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,4.13,0.757,1.84,-2.3,1.33,-0.67,0.27,0.53,0.01,0.22,0,0,0,0,tran,2011,KOI-756,Cyg
756.03,2.4819,213,9.4,112.5496,0.0086,2.5667,0.00011,8.67,0.63,0.017,0.0011,0.2236,-,1.8,0.037,1294,-,4,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.36,1.45,2.57,0.757,1.84,-2.33,0.04,-0.96,0.28,0.78,0,0.28,0,0,0,0,tran,2011,KOI-756,Cyg
757.01,3.5566,4814,99,106.622,0.001,16.0686,0.00017,37.1,0.37,0.06336,0.0005,0.0188,-,4.8,0.119,530,0.000014,2,NoObs,,Hot,Neptunian,gas,metals-rich,non-habitable,0.84,2.01,16.07,0.42,1.065,-1.95,3.51,-0.08,0.2,0.34,0.09,0.2,0,0,0,0,tran,2011,KOI-757,Cyg
757.02,4.649,2208,35,98.035,0.0038,41.19249,0.00069,72,2.1,0.0431,0.0011,0.013,0.022,3.3,0.223,387,0.000017,2,NoObs,,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.74,41.19,0.42,1.065,-1.63,2.14,-0.06,0.27,0.47,0.27,0.36,0,0,0,0,tran,2011,KOI-757,Cyg
757.03,2.4488,774,22,104.3013,0.0044,6.25288,0.00025,14,58,0.03,0.026,0.7,1.7,2.3,0.063,729,0.000022,2,NoObs,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.74,6.25,0.42,1.065,-2.11,0.5,-0.51,0.31,0.65,0.03,0.27,0,0,0,0,tran,2011,KOI-757,Cyg
758.01,3.4108,1181,22,109.354,0.0041,16.016,0.00074,39.8,2,0.03,0.0011,0.003,0.01,3.8,0.123,663,0.000059,2,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.3,1.88,16.01,0.404,1.031,-1.93,1.16,-0.19,0.31,0.54,0.09,0.28,0,0,0,0,tran,2011,KOI-758,Cyg
759.01,4.8992,1579,40,127.1363,0.0031,32.6272,0.001,55,1.1,0.03774,0.00064,0.0003,-,3.6,0.2,495,0.000015,2,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.87,1.91,32.63,0.591,1.462,-1.91,2.98,-0.1,0.22,0.38,0.12,0.24,0,0,0,0,tran,2011,KOI-759,Dra
760.01,2.0728,9215,425,105.25698,0.00017,4.9593304,0.0000059,12.01,0.35,0.10675,0.00076,0.85,0.11,9.7,0.058,982,0.000016,2,,,Hot,Jovian,gas,metals-rich,non-habitable,0.71,2.78,4.96,0.791,1.917,-2.3,8.54,-0.1,0.1,0.17,0.01,0.08,0,0,0,0,tran,2011,KOI-760,Cyg
762.01,3.7651,445,18,104.3455,0.0055,4.4987,0.00016,9.19,0.46,0.01832,0.0008,0.027,0.01,1.7,0.054,1013,0.000078,3,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.88,4.5,0.783,1.899,-2.31,0.88,-0.65,0.28,0.57,0.01,0.23,0,0,0,0,tran,2011,KOI-762,Cyg
763.01,4.9957,11640,307,112.40123,0.00055,19.65119,0.00012,24.49,0.94,0.10979,0.0009,0.71,0.16,13.2,0.147,700,0.000017,2,,,Hot,Jovian,gas,metals-rich,non-habitable,0.69,2.94,19.65,0.873,2.117,-2.17,9.91,0.38,0.09,0.15,0.03,0.09,0,0,0,0,tran,2011,KOI-763,Cyg
764.01,10.356,2472,71,141.9341,0.0031,41.43958,0.00098,31.83,0.27,0.04707,0.0004,0.003,0.02,5.6,0.236,500,0.000031,2,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.85,2,41.44,0.577,1.444,-1.83,3.42,0.04,0.2,0.35,0.15,0.25,0,0,0,0,tran,2011,KOI-764,Cyg
765.01,2.2835,912,24,104.6302,0.003,8.35404,0.00023,20,106,0.03,0.03,0.7,1.9,2.4,0.079,713,0.000019,2,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,8.35,0.584,1.446,-2.17,1.33,-0.47,0.28,0.53,0.02,0.23,0,0,0,0,tran,2011,KOI-765,Dra
766.01,3.1048,1334,63,102.7521,0.0016,4.125488,0.000042,10.66653,0.00011,0.035,0.073,0.0065,-,3.8,0.052,1144,0.00003,2,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.88,1.87,4.13,0.817,1.979,-2.32,2.79,-0.68,0.21,0.4,0,0.18,0,0,0,0,tran,2011,KOI-766,Cyg
767.01,2.6063,16217,915,103.96676,0.00009,2.8165077,0.0000018,7.05,0.18,0.12849,0.00076,0.68,0.14,14.2,0.039,1221,0.000016,2,NoObs,,Hot,Jovian,gas,metals-rich,non-habitable,0.69,2.89,2.82,0.667,1.651,-2.28,9.42,-0.15,0.09,0.15,0,0.08,0,0,0,0,tran,2011,KOI-767,Cyg
769.01,2.8675,634,31,104.8993,0.0027,4.280889,0.000079,11.636,0.1,0.02389,0.0005,0.019,-,2,0.051,946,0.000043,2,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.82,4.28,0.588,1.452,-2.24,0.69,-0.62,0.29,0.61,0.01,0.25,0,0,0,0,tran,2011,KOI-769,Cyg
771.01,48.1018,17923,236,142.0388,0.0035,10389,133,1855,24,0.12445,-,-,-,15,9.514,84,NaN,2,,,Warm,Jovian,gas,hydrogen-rich,non-habitable,0.66,3.21,670.65,0.712,1.77,0.49,12.41,2.64,0.07,0.12,0.56,0.3,0,0,1,0,tran,2011,KOI-771,Cyg
772.01,5.5841,4023,30,106.8349,0.0042,61.2592,0.0032,53,17,0.0695,0.0044,0.84,0.36,8.2,0.313,482,0.000012,2,,,Hot,Jovian,gas,metals-rich,non-habitable,0.68,2.99,61.26,0.886,2.145,-1.91,10.31,0.85,0.09,0.14,0.13,0.13,0,0,0,0,tran,2011,KOI-772,Dra
773.01,5.5792,638,20,105.817,0.005,38.37813,0.00087,51.4,1.9,0.02311,0.00078,0.015,0.01,2.1,0.225,477,0.000032,3,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.82,38.38,0.7,1.711,-1.94,0.69,-0.19,0.33,0.61,0.11,0.31,0,0,0,0,tran,2011,KOI-773,Cyg
774.01,2.895,24627,359,102.9705,0.00031,7.442665,0.000016,27.75,0.11,0.14349,0.00043,0.0002,-,15.8,0.077,939,-,3,,1,Hot,Jovian,gas,metals-rich,non-habitable,0.65,3.23,7.44,0.841,2.034,-2.28,12.66,0.26,0.07,0.12,0.01,0.06,0,0,0,0,tran,2011,KOI-774,Cyg
775.01,2.8272,880,13,105.724,0.0047,16.38523,0.0007,44.3,3.2,0.0285,0.0016,0.043,0.01,2.1,0.105,458,0.000018,2,NoObs,,Hot,Superterran,iron,hydrogen-rich,non-habitable,13.35,4.75,16.39,0.197,0.528,-1.56,-1.36,2.91,0.22,0.74,0.3,0.47,0,0,0,1,tran,2011,KOI-775,Cyg
775.02,2.4216,1217,22,109.3746,0.0023,7.87761,0.00018,26.4,1.2,0.0332,0.0012,0.027,0.052,2.5,0.065,582,0.000016,2,NoObs,,Hot,Superterran,iron,hydrogen-rich,non-habitable,23.89,6.79,7.88,0.197,0.528,-1.81,-1.34,4.14,0.18,0.68,0.13,0.34,0,0,0,1,tran,2011,KOI-775,Cyg
776.01,2.6154,4953,212,104.79264,0.00039,3.7287253,0.0000099,11.606493,0.000031,0.065,0.023,0.0007,-,4.3,0.046,852,0.00002,2,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.82,2.12,3.73,0.54,1.344,-2.23,4.12,-0.44,0.18,0.31,0.01,0.14,0,0,0,0,tran,2011,KOI-776,Cyg
777.01,2.9867,6360,29,106.5648,0.0031,40.41887,0.00089,52,16,0.3477,0.0036,1.56,0.47,36,0.23,471,0.000012,3,,,Hot,Jovian,gas,metals-rich,non-habitable,0.75,2.47,40.42,0.609,1.512,-1.86,6.28,0.44,0.13,0.22,0.14,0.18,0,0,0,0,tran,2011,KOI-777,Cyg
778.01,1.1499,747,27,103.6798,0.0017,2.24334,0.000036,17.99,0.98,0.0279,0.001,0.01,0.042,1.9,0.027,857,0.000018,2,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.28,1.33,2.24,0.152,0.409,-1.98,-0.1,-0.75,0.32,0.84,0.04,0.31,0,0,0,0,tran,2011,KOI-778,Dra
780.01,1.9891,866,41,104.7599,0.0016,2.337466,0.000026,9.901,0.046,0.02856,0.00048,0.0496,-,2.2,0.032,995,0.000038,2,NoObs,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.71,2.34,0.383,0.977,-2.19,0.44,-0.69,0.3,0.66,0.01,0.26,0,0,0,0,tran,2011,KOI-780,Cyg
781.01,2.5888,2897,44,113.3936,0.0018,11.59823,0.00015,39,113,0.05,0.029,0.2,2,4.3,0.083,521,0.00003,2,NoObs,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.34,1.89,11.6,0.16,0.431,-1.59,1.09,0.1,0.34,0.55,0.28,0.4,0,0,0,0,tran,2011,KOI-781,Cyg
782.01,4.3279,2699,107,106.63389,0.00093,6.57526,0.000045,12.201573,0.000083,0.048,0.093,0.0001,-,5.6,0.07,989,0.000023,2,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.82,2.12,6.58,0.837,2.036,-2.28,4.12,-0.45,0.17,0.31,0.01,0.14,0,0,0,0,tran,2011,KOI-782,Cyg
783.01,7.3311,2787,176,102.9929,0.001,7.27509,0.000053,7.987,0.034,0.04895,0.00019,0.029,0.017,3.5,0.072,707,0.000027,2,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.86,1.93,7.28,0.502,1.256,-2.15,3.07,-0.4,0.21,0.38,0.02,0.18,0,0,0,0,tran,2011,KOI-783,Cyg
784.01,2.9416,1148,20,119.7842,0.0044,19.2693,0.00059,47,256,0.032,0.033,0.5,2.5,2.3,0.117,429,0.000033,2,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.39,1.54,19.27,0.164,0.442,-1.38,0.14,-0.13,0.42,0.74,0.46,0.58,0,0,0,0,tran,2011,KOI-784,Cyg
785.01,3.3041,863,19,111.7494,0.0046,12.39325,0.00037,29.4,1.4,0.027,0.0011,0.042,0.01,2.1,0.103,620,0.00004,2,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,12.39,0.583,1.443,-2.12,1.33,-0.38,0.28,0.53,0.03,0.24,0,0,0,0,tran,2011,KOI-785,Cyg
786.01,2.3232,435,19,103.36,0.0035,3.689947,0.000087,13.82,0.62,0.02241,0.00076,0.0624,-,1.8,0.047,980,0.000035,3,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.64,3.69,0.683,1.672,-2.29,0.3,-0.78,0.29,0.69,0.01,0.26,0,0,0,0,tran,2011,KOI-786,Cyg
787.01,3.1631,950,39,104.0208,0.0025,4.431061,0.000075,11.1,0.27,0.02873,0.00055,0,0.03,2.9,0.054,1020,0.000038,2,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,4.43,0.66,1.62,-2.27,1.33,-0.63,0.27,0.53,0.01,0.22,0,0,0,0,tran,2011,KOI-787,Cyg
787.02,2.1124,401,12,66.8549,0.0064,5.68952,0.00015,21.8,1.5,0.0219,0.0012,0.0618,-,2.2,0.063,944,-,4,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.76,11.38,0.66,1.62,-2.17,2.23,-0.5,0.24,0.45,0.02,0.21,0,0,0,0,tran,2011,KOI-787,Cyg
788.01,3.328,1574,29,109.0511,0.0032,26.3953,0.00057,47,158,0.04,0.028,0.7,1.6,3.2,0.166,463,0.000024,2,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.06,1.78,26.39,0.416,1.056,-1.8,1.68,-0.14,0.29,0.5,0.16,0.31,0,0,0,0,tran,2011,KOI-788,Cyg
790.01,2.6555,913,23,107.1626,0.0039,8.47239,0.00023,25.1,1.1,0.02876,0.00094,0.02,0.01,1.4,0.076,551,0.000038,2,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.87,8.47,0.488,1.224,-2.12,0.85,-0.4,0.3,0.58,0.03,0.25,0,0,0,0,tran,2011,KOI-790,Cyg
791.01,4.9811,5794,181,113.89115,0.00077,12.611939,0.000069,20.757,0.099,0.07053,0.00028,0.0007,-,7.1,0.107,718,0.000018,2,,,Hot,Jovian,gas,metals-rich,non-habitable,0.78,2.35,12.61,0.657,1.614,-2.15,5.46,-0.06,0.15,0.25,0.03,0.13,0,0,0,0,tran,2011,KOI-791,Cyg
794.01,2.4001,369,22,102.6744,0.0036,2.539147,0.000061,8.98,0.35,0.02019,0.00063,0.0296,-,2.1,0.037,1296,0.0001,2,NoObs,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.78,2.54,0.757,1.844,-2.33,0.6,-0.79,0.28,0.62,0,0.25,0,0,0,0,tran,2011,KOI-794,Lyr
795.01,1.8917,1318,31,103.5759,0.0022,6.77034,0.0001,29.7,1.2,0.03458,0.00099,0.02,0.042,2.4,0.069,733,0.000086,2,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.9,1.78,6.77,0.643,1.58,-2.23,2.33,-0.58,0.23,0.44,0.01,0.2,0,0,0,0,tran,2011,KOI-795,Lyr
797.01,2.9281,5617,111,110.1418,0.0011,10.18151,0.000069,21.8,6.5,0.07652,0.00073,0.49,0.15,7.7,0.094,791,0.000059,3,,,Hot,Jovian,gas,metals-rich,non-habitable,0.74,2.59,10.18,0.773,1.876,-2.23,7.09,-0.01,0.12,0.2,0.02,0.1,0,0,0,0,tran,2011,KOI-797,Lyr
800.01,3.0081,886,38,103.0385,0.0023,2.711437,0.000043,7.37,0.17,0.02941,0.00053,0.0402,-,2.7,0.039,1224,0.000094,2,NoObs,,Hot,Neptunian,gas,metals-rich,non-habitable,0.93,1.72,2.71,0.839,2.028,-2.35,2.03,-0.83,0.24,0.48,0,0.2,0,0,0,0,tran,2011,KOI-800,Cyg
800.02,3.9728,851,26,105.8128,0.0044,7.21227,0.00022,14,99,0.027,0.034,0.2,3.1,2.5,0.075,882,0.000095,2,NoObs,,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.76,7.21,0.839,2.028,-2.29,2.23,-0.65,0.23,0.45,0.01,0.2,0,0,0,0,tran,2011,KOI-800,Cyg
801.01,2.4077,7753,533,103.82617,0.00016,1.6255204,0.0000017,5.639292,0.000006,0.081,0.013,0.001,-,9.6,0.027,1525,0.000064,2,NoObs,,Hot,Jovian,gas,metals-rich,non-habitable,0.74,2.54,1.63,0.706,1.746,-2.31,6.77,-0.47,0.12,0.21,0,0.1,0,0,0,0,tran,2011,KOI-801,Cyg
802.01,2.2149,20618,264,114.88094,0.00028,19.620402,0.00004,83,15,0.1345,0.0049,0.26,0.49,7.3,0.139,464,0.000046,2,,,Hot,Jovian,gas,metals-rich,non-habitable,0.68,2.96,19.62,0.658,1.614,-2.08,10.07,0.54,0.09,0.14,0.05,0.1,0,0,0,0,tran,2011,KOI-802,Cyg
804.01,3.1943,909,29,110.2,0.0033,9.02971,0.00022,16,56,0.031,0.021,0.7,1.6,3,0.083,735,0.000093,2,,,Hot,Neptunian,rocky-water,metals-rich,non-habitable,1.41,1.91,9.03,0.533,1.337,-2.13,0.98,-0.39,0.3,0.56,0.03,0.24,0,0,0,0,tran,2011,KOI-804,Lyr
805.01,7.8222,17128,430,107.58168,0.00069,10.327948,0.000074,11.377346,0.000082,0.1195,0.0095,0.0002,-,14.4,0.094,820,0.000022,3,,,Hot,Jovian,gas,metals-rich,non-habitable,0.68,3.01,10.33,0.718,1.777,-2.19,10.55,0.29,0.08,0.14,0.02,0.08,0,0,0,0,tran,2011,KOI-805,Lyr
806.01,8.9776,9416,57,87.2386,0.0035,143.1814,0.0027,133,47,0.0933,0.0073,0.29,0.68,9,0.53,296,0.00003,2,NoObs,,Hot,Jovian,gas,hydrogen-rich,non-habitable,0.74,2.56,143.21,0.638,1.59,-1.23,6.9,1.04,0.12,0.2,0.57,0.36,0,0,0,1,tran,2011,KOI-806,Lyr
806.02,6.6246,18462,195,176.89513,0.00088,60.32875,0.00037,78.27,0.44,0.12509,0.00053,0.03,0.017,12.1,0.298,395,0.000024,2,NoObs,,Hot,Jovian,gas,metals-rich,non-habitable,0.69,2.92,60.32,0.638,1.59,-1.71,9.69,1,0.09,0.15,0.22,0.19,0,0,0,1,tran,2011,KOI-806,Lyr
806.03,4.6342,1027,14,83.6924,0.0086,29.1654,0.0012,47.3,7,0.032,0.08,0.391,0.03,3.1,0.183,504,0.000044,2,NoObs,,Hot,Neptunian,gas,metals-rich,non-habitable,0.88,1.86,29.16,0.638,1.59,-1.95,2.72,-0.19,0.23,0.41,0.09,0.23,0,0,0,1,tran,2011,KOI-806,Lyr
809.01,1.9942,15323,602,103.64747,0.00018,1.5947453,0.0000027,7.145002,0.000012,0.114,0.065,0.0001,-,12.2,0.027,1512,0.000022,2,,,Hot,Jovian,gas,metals-rich,non-habitable,0.69,2.9,1.59,0.764,1.86,-2.34,9.5,-0.32,0.09,0.15,0,0.07,0,0,0,0,tran,2011,KOI-809,Lyr
810.01,2.3449,944,41,103.51,0.0018,4.782942,0.000062,14,45,0.03,0.022,0.5,1.8,2.7,0.054,859,0.000042,2,,,Hot,Neptunian,rocky-water,metals-rich,non-habitable,1.41,1.91,4.78,0.44,1.117,-2.15,0.98,-0.47,0.29,0.56,0.02,0.24,0,0,0,0,tran,2011,KOI-810,Lyr
811.01,4.2008,2090,48,114.4316,0.0021,20.50617,0.00032,39.8,0.74,0.04186,0.0006,0.031,0.041,4.3,0.141,544,0.000043,2,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.9,1.8,20.51,0.381,0.976,-1.84,2.42,-0.16,0.25,0.43,0.13,0.27,0,0,0,0,tran,2011,KOI-811,Lyr
812.01,1.8467,1620,43,104.9773,0.0015,3.34024,0.000035,13,50,0.039,0.028,0.5,2.1,2.5,0.036,720,0.000043,2,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.72,3.34,0.174,0.467,-1.95,0.47,-0.41,0.33,0.65,0.05,0.29,0,0,0,0,tran,2011,KOI-812,Lyr
812.02,3.2972,1374,21,80.4576,0.0054,20.06086,0.00047,50.3,2.2,0.0352,0.0011,0.031,0.064,2.2,0.118,398,-,4,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.62,20.06,0.174,0.467,-1.4,0.27,-0.06,0.41,0.7,0.44,0.55,0,0,0,0,tran,2011,KOI-812,Lyr
812.03,4.745,1356,14,98.2376,0.01,46.1851,0.0019,75.7,4.2,0.0341,0.0017,0.003,0.017,2.1,0.206,301,-,4,,,Warm,Superterran,rocky-water,metals-rich,mesoplanet,1.42,1.59,46.18,0.174,0.467,-0.82,0.23,0.16,0.54,0.72,0.92,0.79,0,1,0,0,tran,2011,KOI-812,Lyr
813.01,2.274,8285,258,103.52731,0.0003,3.8959257,0.0000082,14.23,0.067,0.08461,0.00029,0.0009,-,6.5,0.048,902,0.000081,2,,,Hot,Jovian,gas,metals-rich,non-habitable,0.76,2.42,3.9,0.572,1.417,-2.24,5.96,-0.26,0.14,0.23,0.01,0.11,0,0,0,0,tran,2011,KOI-813,Cyg
814.01,5.1665,867,19,108.4529,0.005,22.367,0.00045,33,173,0.028,0.031,0.4,2.5,1.8,0.15,456,0.00014,2,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,22.37,0.516,1.289,-1.95,1.33,-0.2,0.3,0.53,0.09,0.28,0,0,0,0,tran,2011,KOI-814,Cyg
815.01,2.9262,4547,62,105.6313,0.0017,34.8442,0.00043,47,14,0.101,0.013,0.94,0.28,10.4,0.209,502,0.000026,2,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,0.56,4.29,34.84,0.599,1.49,-1.9,27.79,1.95,0.03,0.06,0.12,0.09,0,0,0,0,tran,2011,KOI-815,Lyr
816.01,3.4728,2224,70,107.9981,0.0018,7.748017,0.000094,17.74,0.23,0.04406,0.00045,0.02,0.022,4.6,0.078,882,0.00011,2,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.86,1.93,7.75,0.685,1.681,-2.22,3.07,-0.48,0.21,0.38,0.01,0.18,0,0,0,0,tran,2011,KOI-816,Cyg
817.01,3.1504,1145,12,119.2141,0.0058,23.9716,0.0011,64.4,4.6,0.033,0.002,0.03,0.028,2.1,0.129,370,0.000027,3,NoObs,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.62,23.97,0.173,0.466,-1.28,0.27,0.01,0.43,0.7,0.55,0.62,0,0,0,0,tran,2011,KOI-817,Lyr
818.01,2.4193,1491,33,109.3409,0.0023,8.11429,0.00013,21,59,0.04,0.021,0.7,1.4,3.6,0.066,591,0.00005,2,NoObs,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.81,8.11,0.174,0.469,-1.74,0.66,-0.11,0.35,0.61,0.16,0.35,0,0,0,0,tran,2011,KOI-818,Lyr
821.01,4.3866,1138,21,107.0084,0.0072,21.8131,0.0015,34,171,0.034,0.033,0.6,2.2,3.9,0.154,623,0.00012,2,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.9,1.8,21.81,0.661,1.64,-2.05,2.42,-0.34,0.24,0.43,0.05,0.22,0,0,0,0,tran,2011,KOI-821,Cyg
822.01,3.0811,15030,257,105.18019,0.00031,7.919371,0.000017,15.49,0.73,0.1279,0.0015,0.73,0.18,11.5,0.078,783,-,3,,,Hot,Jovian,gas,metals-rich,non-habitable,0.7,2.82,7.92,0.628,1.546,-2.2,8.86,0.15,0.1,0.16,0.02,0.09,0,0,0,0,tran,2011,KOI-822,Lyr
823.01,1.4379,5028,58,103.22827,0.00086,1.0284369,0.0000061,4.2,1.3,0.0753,0.0015,0.6,0.18,8.7,0.021,1874,-,3,,,Hot,Jovian,gas,metals-rich,non-habitable,0.74,2.54,1.03,0.917,2.207,-2.39,6.77,-0.62,0.12,0.21,0,0.1,0,0,0,0,tran,2011,KOI-823,Cyg
824.01,3.7671,17920,80,106.6086,0.0014,15.3755,0.00048,39.69,0.58,0.1221,0.0013,0.028,0.028,12.5,0.117,604,0.000017,2,,,Hot,Jovian,gas,metals-rich,non-habitable,0.73,2.64,15.38,0.414,1.056,-1.95,7.5,0.42,0.11,0.19,0.08,0.13,0,0,0,0,tran,2011,KOI-824,Lyr
825.01,3.2182,779,21,109.9535,0.004,8.10341,0.00023,16,66,0.028,0.026,0.6,1.9,2.4,0.074,671,0.000032,2,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.81,8.1,0.37,0.949,-2.04,0.68,-0.37,0.31,0.61,0.04,0.27,0,0,0,0,tran,2011,KOI-825,Lyr
826.01,2.9092,705,40,104.134,0.0022,6.365997,0.000094,17.35,0.39,0.02535,0.00045,0.017,-,1.7,0.066,749,0.000053,2,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.91,6.37,0.646,1.586,-2.23,0.97,-0.51,0.29,0.56,0.01,0.23,0,0,0,0,tran,2011,KOI-826,Lyr
829.01,4.2648,823,27,107.7772,0.0041,18.64902,0.00053,34.8801,0.0027,0.03,0.34,0.015,0.01,2.6,0.14,651,0.000054,2,,,Hot,Neptunian,rocky-iron,hydrogen-rich,non-habitable,9.73,5.32,18.65,0.798,1.933,-2.16,-0.24,2.15,0.25,0.51,0.03,0.23,0,0,0,1,tran,2011,KOI-829,Lyr
829.02,4.1408,371,17,71.7806,0.0073,9.75222,0.00032,14,76,0.02,0.022,0.7,2.1,1.9,0.091,807,-,4,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.74,9.75,0.798,1.933,-2.24,0.5,-0.59,0.3,0.65,0.01,0.26,0,0,0,0,tran,2011,KOI-829,Lyr
829.03,4.5589,899,22,96.8416,0.0056,38.5596,0.001,67.1,2.6,0.02809,0.00086,0.008,0.033,2.7,0.228,510,-,4,,,Hot,Neptunian,rocky-water,metals-rich,non-habitable,2.45,2.77,38.56,0.798,1.933,-2,0.86,0.55,0.31,0.48,0.09,0.26,0,0,0,1,tran,2011,KOI-829,Lyr
830.01,2.6064,21628,1241,103.04717,0.00007,3.5256346,0.0000018,11.745,0.012,0.13434,0.0001,0.0003,-,7.7,0.042,767,0.000021,2,1,,Hot,Jovian,gas,metals-rich,non-habitable,0.73,2.66,3.53,0.389,0.991,-2.15,7.63,0,0.11,0.19,0.01,0.1,0,0,0,0,tran,2011,KOI-830,Lyr
833.01,1.5895,2225,80,106.2753,0.00075,3.951399,0.000021,13.5,4,0.04987,0.00071,0.6,0.18,4.3,0.05,1012,0.0001,2,,,Hot,Jovian,gas,metals-rich,non-habitable,0.53,4.81,3.95,0.799,1.936,-2.32,39.42,0.97,0.02,0.04,0,0.02,0,0,0,0,tran,2011,KOI-833,Cyg
834.01,8.1433,3244,156,104.3739,0.0012,23.65422,0.00021,23.3,0.1,0.05283,0.00022,0.02,0.014,4.9,0.163,564,0.000037,2,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.82,2.14,23.65,0.676,1.659,-2.05,4.21,-0.05,0.18,0.3,0.06,0.17,0,0,0,0,tran,2011,KOI-834,Lyr
834.02,6.441,413,23,73.3322,0.0074,13.23311,0.0004,14,66,0.02,0.02,0.5,2.2,1.9,0.111,683,-,4,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.82,13.24,0.676,1.659,-2.15,0.69,-0.43,0.3,0.61,0.03,0.26,0,0,0,0,tran,2011,KOI-834,Lyr
834.03,4.6117,254,18,67.8245,0.0074,6.15542,0.0002,10.44,0.18,0.01505,0.00052,0.03,0.01,1.4,0.066,886,-,4,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.4,1.54,6.16,0.676,1.659,-2.24,0.15,-0.76,0.3,0.74,0.01,0.28,0,0,0,0,tran,2011,KOI-834,Lyr
834.04,3.3378,130,14,67.1598,0.0078,2.090925,0.000069,5.63,0.2,0.01504,0.00044,0.083,-,1.4,0.032,1273,-,4,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.09,1.09,2.09,0.676,1.659,-2.31,-0.27,-1.15,0.28,0.95,0,0.29,0,0,0,0,tran,2011,KOI-834,Lyr
