P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Gravity (EU),P. Esc Vel (EU),P. Period (days),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
2569.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.09,1.09,8.28,0.742,1.833,-2.22,-0.27,-1.03,0.29,0.95,0.01,0.3,0,0,0,0,tran,2012
2571.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.97,0.97,0.83,0.435,1.1,-2.26,-0.33,-1.25,0.28,0.98,0,0.29,0,0,0,0,tran,2012
2572.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.71,6.38,0.455,1.134,-2.15,0.45,-0.53,0.31,0.66,0.02,0.27,0,0,0,0,tran,2012
2573.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.81,2.2,1.35,0.529,1.34,-2.25,4.55,-0.59,0.16,0.29,0,0.13,0,0,0,0,tran,2012
2577.01,Hot,Jovian,gas,metals-rich,non-habitable,0.58,4.03,18.56,1.268,2.995,-2.3,23.03,0.91,0.04,0.07,0.01,0.04,0,0,0,0,tran,2012
2578.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,0.53,4.81,13.33,0.848,2.062,-2.21,39.42,1.52,0.02,0.04,0.02,0.03,0,0,0,0,tran,2012
2579.01,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,1.29,1.34,2.73,0.921,2.223,-2.35,-0.08,-1.05,0.28,0.83,0,0.28,0,0,0,0,tran,2012
2580.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.33,1.41,3.12,0.553,1.374,-2.25,-0.01,-0.9,0.29,0.8,0.01,0.28,0,0,0,0,tran,2012
2581.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.88,0.88,12.74,0.583,1.442,-2.11,-0.36,-1.08,0.29,0.94,0.04,0.32,0,0,0,0,tran,2012
2582.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.66,40.03,0.88,2.13,-2.04,0.35,-0.39,0.32,0.68,0.07,0.31,0,0,0,0,tran,2012
2583.01,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.75,0.75,3.03,0.675,1.66,-2.29,-0.4,-1.31,0.27,0.86,0,0.29,0,0,0,0,tran,2012
2585.01,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,1.32,1.39,5.34,1.342,3.202,-2.37,-0.04,-1,0.28,0.81,0,0.28,0,0,0,0,tran,2012
2586.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.33,1.41,2.13,0.632,1.564,-2.28,-0.01,-0.97,0.29,0.8,0,0.28,0,0,0,0,tran,2012
2587.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.38,1.5,12.95,0.8,1.939,-2.21,0.09,-0.7,0.3,0.76,0.02,0.29,0,0,0,0,tran,2012
2588.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.13,1.14,5.78,0.239,0.629,-1.95,-0.24,-0.84,0.32,0.93,0.06,0.33,0,0,0,0,tran,2012
2589.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.17,1.19,0.66,0.426,1.08,-2.26,-0.21,-1.15,0.28,0.9,0,0.29,0,0,0,0,tran,2012
2592.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.82,175.61,0.869,2.096,-1.38,0.69,0.16,0.39,0.61,0.45,0.52,0,0,0,0,tran,2012
2593.01,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.79,0.79,14.8,0.835,2.034,-2.19,-0.38,-1.18,0.28,0.88,0.02,0.3,0,0,0,0,tran,2012
2594.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.85,11.25,0.865,2.107,-2.24,0.79,-0.52,0.29,0.59,0.01,0.24,0,0,0,0,tran,2012
2595.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.61,9.18,1.675,3.962,-2.38,0.25,-0.85,0.28,0.71,0,0.27,0,0,0,0,tran,2012
2595.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.73,14.61,1.675,3.962,-2.35,0.48,-0.71,0.29,0.65,0.01,0.26,0,0,0,0,tran,2012
2597.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.38,1.5,8.01,0.986,2.361,-2.31,0.09,-0.82,0.29,0.76,0.01,0.28,0,0,0,0,tran,2012
2597.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.4,1.54,12.13,0.986,2.361,-2.28,0.15,-0.73,0.29,0.74,0.01,0.28,0,0,0,0,tran,2012
2597.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.27,1.32,5.61,0.986,2.361,-2.34,-0.1,-0.98,0.28,0.84,0,0.29,0,0,0,0,tran,2012
2598.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.23,1.27,29.23,0.806,1.959,-2.07,-0.15,-0.74,0.31,0.87,0.06,0.33,0,0,0,0,tran,2012
2601.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.99,0.99,2.62,1.157,2.769,-2.39,-0.32,-1.25,0.27,0.99,0,0.29,0,0,0,0,tran,2012
2602.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.29,1.34,11.48,0.77,1.87,-2.22,-0.08,-0.82,0.3,0.83,0.02,0.3,0,0,0,0,tran,2012
2603.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.24,1.28,73.7,0.861,2.094,-1.83,-0.14,-0.58,0.34,0.86,0.17,0.4,0,0,0,0,tran,2012
2604.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.25,1.29,14.43,0.363,0.93,-1.91,-0.13,-0.65,0.33,0.86,0.1,0.35,0,0,0,0,tran,2012
2607.01,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,1.32,1.39,0.75,0.698,1.705,-2.35,-0.04,-1.12,0.28,0.81,0,0.28,0,0,0,0,tran,2012
2608.01,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,1.24,1.27,2.76,0.89,2.162,-2.34,-0.14,-1.07,0.28,0.87,0,0.29,0,0,0,0,tran,2012
2613.01,Hot,Neptunian,rocky-water,metals-rich,non-habitable,1.41,1.91,51.57,0.484,1.216,-1.62,0.98,0.12,0.34,0.56,0.28,0.4,0,0,0,0,tran,2012
2615.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.38,1.51,4.7,0.731,1.781,-2.29,0.11,-0.84,0.29,0.75,0.01,0.28,0,0,0,0,tran,2012
2617.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.28,1.33,8.63,0.496,1.243,-2.12,-0.09,-0.78,0.31,0.84,0.03,0.3,0,0,0,0,tran,2012
2619.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.6,3.28,0.606,1.501,-2.25,0.23,-0.79,0.29,0.71,0.01,0.27,0,0,0,0,tran,2012
2620.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.78,16.06,0.6,1.481,-2.08,0.6,-0.38,0.31,0.62,0.05,0.28,0,0,0,0,tran,2012
2623.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.95,0.95,5.58,1.106,2.634,-2.36,-0.33,-1.2,0.27,0.97,0,0.3,0,0,0,0,tran,2012
2624.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,115.69,0.638,1.567,-1.36,1.33,0.2,0.34,0.53,0.47,0.5,0,0,0,0,tran,2012
2625.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.38,1.49,3.81,0.555,1.379,-2.24,0.08,-0.82,0.3,0.76,0.01,0.28,0,0,0,0,tran,2012
2626.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.28,1.33,38.1,0.182,0.488,-1.03,-0.09,-0.21,0.49,0.84,0.76,0.8,0,0,0,0,tran,2012
2627.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.05,1.05,8.38,0.647,1.611,-2.18,-0.29,-1.04,0.29,0.98,0.02,0.3,0,0,0,0,tran,2012
2628.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.16,1.17,1.68,0.937,2.257,-2.38,-0.22,-1.18,0.27,0.91,0,0.29,0,0,0,0,tran,2012
2631.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.37,1.48,45,1,2.419,-2.05,0.07,-0.55,0.32,0.77,0.07,0.32,0,0,0,0,tran,2012
2632.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.12,1.13,7.13,1.334,3.186,-2.36,-0.25,-1.11,0.28,0.93,0,0.29,0,0,0,0,tran,2012
2634.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.87,19.94,0.6,1.482,-2.04,0.84,-0.26,0.31,0.58,0.06,0.27,0,0,0,0,tran,2012
2635.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.31,1.37,22.24,1.203,2.895,-2.23,-0.05,-0.8,0.3,0.82,0.02,0.3,0,0,0,0,tran,2012
2636.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.96,0.96,3.88,0.786,1.921,-2.3,-0.33,-1.19,0.28,0.98,0,0.3,0,0,0,0,tran,2012
2637.01,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.75,0.75,3.99,0.769,1.869,-2.31,-0.4,-1.3,0.27,0.86,0,0.29,0,0,0,0,tran,2012
2638.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.33,1.41,2.52,0.571,1.427,-2.25,-0.01,-0.94,0.29,0.8,0,0.28,0,0,0,0,tran,2012
2639.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,0.99,1.75,25.09,0.925,2.241,-2.15,1.85,-0.44,0.26,0.49,0.04,0.23,0,0,0,0,tran,2012
2639.02,Hot,Neptunian,gas,metals-rich,non-habitable,0.93,1.72,2.12,0.925,2.241,-2.36,2.03,-0.89,0.24,0.48,0,0.2,0,0,0,0,tran,2012
